salary_account_no,transaction_date,amount,transaction_type
48484888855,09-04-2019,651,debit
48484888855,19-08-2019,890,debit
48484888855,17-06-2019,422,credit
48484888855,17-12-2019,576,credit
48484888855,01-07-2019,207,debit
48484888855,24-06-2019,770,credit
48484888855,10-03-2019,676,debit
48484888855,11-05-2019,791,debit
48484888855,18-12-2019,773,debit
48484888855,19-06-2019,148,credit
11223388330,08-09-2019,219,debit
11223388330,11-08-2019,109,credit
11223388330,23-11-2019,283,debit
11223388330,25-10-2019,276,debit
11223388330,18-06-2019,521,unknown
11223388330,14-07-2019,123,debit
11223388330,20-10-2019,0,credit
11223388330,14-07-2019,673,credit
11223388330,31-08-2019,296,credit
11223388330,11-06-2019,546,debit
98763888220,08-10-2019,-865,credit
98763888220,08-08-2019,263,debit
98763888220,03-12-2019,831,credit
98763888220,11-12-2019,293,credit
98763888220,06-07-2019,509,debit
98763888220,26-11-2019,773,debit
98763888220,18-05-2019,-818,credit
98763888220,24-05-2019,701,debit
98763888220,05-04-2019,385,credit
98763888220,24-12-2019,766,credit
48484888550,07-02-2019,880,debit
48484888550,05-08-2019,147,debit
48484888550,02-11-2019,-602,debit
48484888550,02-07-2019,254,debit
48484888550,09-11-2019,600,credit
48484888550,26-03-2019,554,credit
48484888550,30-07-2019,459,unknown
48484888550,25-09-2019,361,credit
48484888550,16-07-2019,327,credit
48484888550,01-05-2019,709,credit
6060688770,30-08-2019,444,credit
6060688770,12-10-2019,368,debit
6060688770,15-01-2019,152,debit
6060688770,08-11-2019,346,credit
6060688770,14-08-2019,305,credit
6060688770,02-04-2019,182,credit
6060688770,12-05-2019,101,unknown
6060688770,26-09-2019,433,unknown
6060688770,14-01-2019,192,unknown
6060688770,04-11-2019,137,unknown
91191881110,18-11-2019,807,unknown
91191881110,25-07-2019,141,unknown
91191881110,24-10-2019,769,credit
91191881110,02-03-2019,875,credit
91191881110,17-03-2019,346,debit
91191881110,13-01-2019,484,credit
91191881110,22-08-2019,582,debit
91191881110,27-03-2019,654,credit
91191881110,14-07-2019,620,unknown
,08-03-2019,736,debit
70707554240,22-02-2019,550,unknown
70707554240,31-08-2019,459,debit
70707554240,09-01-2019,110,credit
70707554240,08-06-2019,501,debit
70707554240,04-07-2019,793,credit
,08-04-2019,701,credit
70707554240,14-01-2019,702,debit
70707554240,08-04-2019,238,debit
70707554240,05-06-2019,771,credit
,20-08-2019,246,credit
87877856660,04-09-2019,160,unknown
87877856660,01-08-2019,187,debit
87877856660,21-04-2019,833,debit
87877856660,20-06-2019,215,unknown
87877856660,06-12-2019,804,credit
87877856660,28-01-2019,310,credit
87877856660,02-07-2019,381,credit
87877856660,01-07-2019,350,credit
87877856660,23-11-2019,774,debit
87877856660,06-04-2019,441,debit
10101881910,28-07-2019,467,credit
10101881910,24-09-2019,165,unknown
10101881910,08-04-2019,770,credit
10101881910,09-12-2019,751,debit
10101881910,04-10-2019,233,credit
10101881910,29-07-2019,372,debit
10101881910,20-10-2019,757,unknown
10101881910,12-08-2019,590,debit
10101881910,15-05-2019,146,unknown
10101881910,11-08-2019,401,debit
11223388330,19-06-2019,337,debit
11223388330,18-09-2019,424,credit
11223388330,09-03-2019,890,debit
11223388330,05-12-2019,727,credit
11223388330,15-03-2019,329,unknown
11223388330,21-04-2019,144,credit
11223388330,04-10-2019,630,debit
11223388330,19-01-2019,508,debit
11223388330,23-01-2019,611,credit
11223388330,15-12-2019,428,debit
